Sno,Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
0,802,2020-10-04,5:00 PM,Andhra Pradesh,-,-,7,6,363
1,803,2020-10-04,5:00 PM,Andaman and Nicobar Islands,-,-,0,0,11
2,804,2020-10-04,5:00 PM,Arunachal Pradesh,-,-,0,0,1
3,805,2020-10-04,5:00 PM,Assam,-,-,0,0,29
4,806,2020-10-04,5:00 PM,Bihar,-,-,0,1,60
5,807,2020-10-04,5:00 PM,Chandigarh,-,-,7,0,18
6,808,2020-10-04,5:00 PM,Chhattisgarh,-,-,9,0,10
7,809,2020-10-04,5:00 PM,Delhi,-,-,25,13,898
8,810,2020-10-04,5:00 PM,Goa,-,-,1,0,7
9,811,2020-10-04,5:00 PM,Gujarat,-,-,26,17,241
10,812,2020-10-04,5:00 PM,Haryana,-,-,29,3,169
11,813,2020-10-04,5:00 PM,Himachal Pradesh,-,-,6,1,28
12,814,2020-10-04,5:00 PM,Jammu and Kashmir,-,-,6,4,184
13,815,2020-10-04,5:00 PM,Jharkhand,-,-,0,1,13
14,816,2020-10-04,5:00 PM,Karnataka,-,-,30,6,197
15,817,2020-10-04,5:00 PM,Kerala,-,-,96,2,357
16,818,2020-10-04,5:00 PM,Ladakh,-,-,10,0,15
17,819,2020-10-04,5:00 PM,Madhya Pradesh,-,-,0,16,259
18,820,2020-10-04,5:00 PM,Maharashtra,-,-,125,97,1364
19,821,2020-10-04,5:00 PM,Manipur,-,-,1,0,2
20,822,2020-10-04,5:00 PM,Mizoram,-,-,0,0,1
21,823,2020-10-04,5:00 PM,Odisha,-,-,2,1,44
22,824,2020-10-04,5:00 PM,Puducherry,-,-,1,0,5
23,825,2020-10-04,5:00 PM,Punjab,-,-,5,11,132
24,826,2020-10-04,5:00 PM,Rajasthan,-,-,21,3,463
25,827,2020-10-04,5:00 PM,Tamil Nadu,-,-,21,8,834
26,828,2020-10-04,5:00 PM,Telengana,-,-,35,7,473
27,829,2020-10-04,5:00 PM,Tripura,-,-,0,0,1
28,830,2020-10-04,5:00 PM,Uttarakhand,-,-,5,0,35
29,831,2020-10-04,5:00 PM,Uttar Pradesh,-,-,32,4,431
30,832,2020-10-04,5:00 PM,West Bengal,-,-,16,5,116
